Search Term,Tweet Text,URL
Trump,Meet the hundreds of officials Trump has quietly installed across the government https://t.co/uM9vVNH9oH,https://www.propublica.org/article/meet-hundreds-of-officials-trump-has-quietly-installed-across-government/?utm_campaign=bt_twitter&utm_source=twitter&utm_medium=social
Trump,"RT @bergken111: Trump-Russia conspirator Michael Flynn registers as foreign agent, admits he took half million dol https://t.co/afF3DJIMJi…",http://www.palmerreport.com/opinion/trump-russia-conspirator-michael-flynn-registers-as-foreign-agent-admits-he-took-half-million-dollars/1836/
Trump,"RT @AnthonyFolsomSr: Graham ready to subpoena Trump ""wiretap"" info. It'll prove no wire tap &amp; Trump-Russia will be ""Front &amp; Center.""😂😂😂 htt…",
Trump,RT @caramelthot: like... this is an actual... trump supporter...lol... https://t.co/qbyrxt0vvg,
Trump,"RT @mattyglesias: Folks, the president is not okay. 

https://t.co/ADPylLlk6z https://t.co/8nP6yw3tiB",https://www.nytimes.com/2017/03/07/us/politics/trump-wiretap-claim-obama.html?_r=0
Trump,"RT @LivNow: ""Ex-CIA officer who faced extradition freed after intervention from Trump administration""
 https://t.co/rmQwxWdLlm",http://fxn.ws/2lHmq8X
Trump,RT @SenJeffMerkley: Today’s photo: some of the many postcards from OR #WomensMarch activists concerned about Trump. I hear you. We must and…,
Trump,"RT @LVNancy: Linda Sarsour, Organizer of the #WomensMarch OPENLY Supports #ShariaLaw = Slavery of Women 😼#adaywithoutwomen
#InternationalWo…",
Trump,@lrozen first possibly smart move from Trump to distance himself from Russia accusations.,
Trump,"RT @TomiLahren: I went to work today because dollar signs do more for me than ""F Trump"" signs. #HappyInternationalWomensDay #weshowedup",
Trump,@MikeCrapo I demand that Donald J. Trump be impeached and tried for collusion with a foreign Government to win the 2016 election!,
Trump,"RT @RealMuckmaker: Sen. Dianne Feinstein: Donald Trump is ""blatantly defying"" the Constitution's Emoluments Clause https://t.co/h1DI94lIc2",http://www.dailykos.com/story/2017/3/8/1641571/-Sen-Dianne-Feinstein-Donald-Trump-is-blatantly-defying-the-Constitution-s-Emoluments-Clause
Trump,RT @HuffingtonPost: J.K. Rowling shows two faces of @realDonaldTrump on #InternationalWomensDay https://t.co/dt8Hep8NlK https://t.co/tyrRHF…,http://huff.to/2mHTFMW
Trump,RT @HuffingtonPost: J.K. Rowling shows two faces of @realDonaldTrump on #InternationalWomensDay https://t.co/dt8Hep8NlK https://t.co/tyrRHF…,http://huff.to/2mHTFMW
Trump,"RT @Cernovich: Hillary sold cluster bombs to Saudis.

Obama spied on entire nation as revealed in #Vault7.

Trump posts ""mean tweets.""

Get…",
Trump,"RT @Fahrenthold: Wow. Amazing work by @propublica to build a list of folks @realdonaldtrump  sent into agencies as ""beachhead teams."" https…",
Trump,Report: Early Trump administration budget would cut HUD funding by $6B https://t.co/essC76HRai,http://thehill.com/blogs/blog-briefing-room/news/323106-report-early-trump-administration-budget-would-cut-hud-funding
Trump,haha - she is the Virgin Mary next to Trump https://t.co/7Yfr5G6dBH,https://twitter.com/LonestarIndChic/status/839704976909873152
Trump,RT @HuffingtonPost: J.K. Rowling shows two faces of @realDonaldTrump on #InternationalWomensDay https://t.co/dt8Hep8NlK https://t.co/tyrRHF…,http://huff.to/2mHTFMW
Trump,"RT @FullFrontalSamB: The Trump WH is so feminist, EVERY day is Day Without a Woman. https://t.co/rYZeYo04kn",
Trump,"RT @feyzi_isbasaran: Trump'ın istifa ettirilen Güvenik danışmanı Flynn, 15 Temmuz gecesi darbeye tam destek vermişti. Damat Berat ve Çavuşo…",
Trump,"RT @bakedalaska: Man Who Threatened To Assassinate Trump BUSTED By Secret Service

PLEASE SHARE: https://t.co/YmmLjvCXb0 https://t.co/dzh8d…",https://youtu.be/TH_IKfn9-Vo
Trump,RT @veilleuxwho: Good to know truffles are right under terrorists and immigrants on Trump's watchlist: https://t.co/rUDr7hZ3Av,https://twitter.com/nahmias/status/839588136787275777
Trump,RT @politico: An associate of an ex-Trump campaign chairman is suspected of connections to Russian intelligence https://t.co/jJFmkFlQK3 htt…,http://politi.co/2m0I07M
Trump,"RT @RubenBolling: Even in trying praise them, Trump talks about women like they're some niche contributors who do certain important things…",
Trump,RT @Newsweek: The press must stand up to Trump’s bullying | Opinion https://t.co/WtxR7sEAz8 https://t.co/E4NzHnHJoI,http://bit.ly/2n1fRT9
Trump,@MErb1962 @KathyPruitt54 @RVAwonk Very suspicious timing of Wikileaks.,
Trump,RT @aroseblush: 👄 Ivanka Trump landlord suing US government 👄 #TheResistance   https://t.co/vWR2F7IkST,http://thehill.com/homenews/news/323006-ivanka-trump-landlord-suing-us-government-report#.WMBmxURJOYk.twitter
Trump,"RT @ShannonJoyRadio: Trump is threatening to take out the Freedom Caucus if they oppose his crappy #RINOCare bill? 

Not sure he'll win thi…",
